parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2900056,USA,30100,,"Lebanon, Nh-Vt",,,CBSA,221463,74152,0,0,0,0
2900047,USA,29740,,"Las Cruces, Nm",,,CBSA,219870,51232,0,0,0,0
2899957,USA,25940,,"Hilton Head Island-Bluffton, Sc",,,CBSA,218515,77536,0,0,0,0
2900038,USA,29340,,"Lake Charles, La",,,CBSA,216217,64764,0,0,0,0
2887279,USA,12020,,"Athens-Clarke County, Ga",,,CBSA,216194,59130,0,0,0,0
2900040,USA,29420,,"Lake Havasu City-Kingman, Az",,,CBSA,214229,53592,0,0,0,0
2899846,USA,17020,,"Chico, Ca",,,CBSA,213605,66085,0,0,0,0
2899665,USA,17860,,"Columbia, Mo",,,CBSA,211078,65863,0,0,0,0
2900390,USA,44100,,"Springfield, Il",,,CBSA,208406,72445,0,0,0,0
2900003,USA,27740,,"Johnson City, Tn",,,CBSA,207442,54217,0,0,0,0
2899782,USA,21140,,"Elkhart-Goshen, In",,,CBSA,206841,63978,0,0,0,0
2899966,USA,26380,,"Houma-Thibodaux, La",,,CBSA,206082,62443,0,0,0,0
2900144,USA,33740,,"Monroe, La",,,CBSA,206072,47351,0,0,0,0
2899719,USA,23580,,"Gainesville, Ga",,,CBSA,204953,74153,0,0,0,0
2899904,USA,49740,,"Yuma, Az",,,CBSA,204374,56439,0,0,0,0
2899991,USA,27340,,"Jacksonville, Nc",,,CBSA,203686,59976,0,0,0,0
2899956,USA,25900,,"Hilo, Hi",,,CBSA,202163,74238,0,0,0,0
2899695,USA,22500,,"Florence, Sc",,,CBSA,200040,52401,0,0,0,0
2900318,USA,41060,,"St. Cloud, Mn",,,CBSA,199922,72564,0,0,0,0
2899602,USA,13460,,"Bend, Or",,,CBSA,199352,82042,0,0,0,0
2900281,USA,39540,,"Racine, Wi",,,CBSA,197068,72658,0,0,0,0
